   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
a
48;-72;64;64;69;69;;54;66;-60;67;53;74;-60;67;-56;70;-48;67;52;56;75;58;56;51;54;62;57;76;69;52;66;66;52;69;76;57;62;54;51;56;58;75;56;52;67;-48;70;-56;67;-60;74;53;67;-60;66;54;;69;69;64;64;
49;-72;76;66;75;-56;67;58;54;69;64;57;-60;56;70;-60;56;;52;64;62;67;52;-48;74;51;69;66;69;54;53;67;67;53;54;69;66;69;51;74;-48;52;67;62;64;52;;56;-60;70;56;-60;57;64;69;54;58;67;-56;75;66;76;
50;74;50;62;66;47;63;72;61;51;68;-52;62;52;68;-72;59;64;63;48;70;-56;61;-60;70;75;-72;65;60;-60;70;55;55;70;-60;60;65;-72;75;70;-60;61;-56;70;48;63;64;59;-72;68;52;62;-52;68;51;61;72;63;47;66;62;50;
51;74;60;61;-56;-72;68;61;72;-60;50;65;51;70;59;52;-60;63;70;62;-72;68;48;64;62;70;47;55;66;75;-52;63;63;-52;75;66;55;47;70;62;64;48;68;-72;62;70;63;-60;52;59;70;51;65;50;-60;72;61;68;-72;-56;61;60;
52;-72;67;52;76;62;-48;66;64;74;75;52;51;-56;;69;67;56;66;58;-60;69;54;70;54;69;56;53;64;-60;67;57;57;67;-60;64;53;56;69;54;70;54;69;-60;58;66;56;67;69;;-56;51;52;75;74;64;66;-48;62;76;52;67;
53;74;60;61;-56;-72;68;61;72;-60;50;65;51;70;59;52;-60;63;70;62;-72;68;48;64;62;70;47;55;66;75;-52;63;63;-52;75;66;55;47;70;62;64;48;68;-72;62;70;63;-60;52;59;70;51;65;50;-60;72;61;68;-72;-56;61;60;
54;-50;49;56;62;59;62;-64;65;56;-64;77;-68;61;-63;69;52;76;-54;61;54;73;60;63;58;64;-72;52;54;74;-52;72;72;-52;74;54;52;-72;64;58;63;60;73;54;61;-54;76;52;69;-63;61;-68;77;-64;56;65;-64;62;59;62;56;49;
55;74;68;48;60;-72;64;61;62;62;-56;70;70;-72;63;47;68;-60;55;61;52;66;72;59;75;-60;70;-52;50;51;63;65;65;63;51;50;-52;70;-60;75;59;72;66;52;61;55;-60;68;47;63;-72;70;70;-56;62;62;61;64;-72;60;48;68;
56;-52;73;-54;-64;58;58;-76;68;60;70;-68;57;72;70;57;66;60;62;57;71;55;;72;49;55;67;-64;50;48;55;68;68;55;48;50;-64;67;55;49;72;;55;71;57;62;60;66;57;70;72;57;-68;70;60;68;-76;58;58;-64;-54;73;
57;-52;73;-54;-64;58;58;-76;68;60;70;-68;57;72;70;57;66;60;62;57;71;55;;72;49;55;67;-64;50;48;55;68;68;55;48;50;-64;67;55;49;72;;55;71;57;62;60;66;57;70;72;57;-68;70;60;68;-76;58;58;-64;-54;73;
58;-52;55;;73;71;72;-54;57;49;-64;62;55;58;60;67;58;66;-64;-76;57;50;68;70;48;60;72;55;70;57;68;-68;-68;68;57;70;55;72;60;48;70;68;50;57;-76;-64;66;58;67;60;58;55;62;-64;49;57;-54;72;71;73;;55;
59;-50;-64;61;54;-72;76;65;56;-68;73;-52;58;69;62;59;-63;63;72;60;61;62;-64;52;64;74;54;77;49;56;-54;52;52;-54;56;49;77;54;74;64;52;-64;62;61;60;72;63;-63;59;62;69;58;-52;73;-68;56;65;76;-72;54;61;-64;
60;-72;64;64;69;69;;54;66;-60;67;53;74;-60;67;-56;70;-48;67;52;56;75;58;56;51;54;62;57;76;69;52;66;66;52;69;76;57;62;54;51;56;58;75;56;52;67;-48;70;-56;67;-60;74;53;67;-60;66;54;;69;69;64;64;
