   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82
a
47;-84;82;90;72;101;75;91;72;88;99;84;75;78;78;90;68;95;88;71;-88;83;66;-72;83;-68;86;93;85;-80;99;79;88;-72;76;-72;90;86;87;80;74;;90;78;;94;88;81;82;78;-96;92;-96;80;89;69;-88;83;75;82;-100;85;-96;102;85;-80;97;80;73;100;78;90;90;93;84;69;80;96;77;93;67;96;78;86;
48;84;-76;90;87;84;-96;78;-80;91;98;93;95;92;86;88;84;98;-80;90;75;-80;94;77;78;98;72;81;-84;100;76;87;98;100;-72;96;79;96;93;75;73;69;79;89;99;95;93;75;72;89;72;-96;68;70;81;92;68;-84;87;96;70;90;91;74;-88;93;78;-88;70;84;80;82;76;73;75;70;77;-88;90;-72;84;81;78;-92;
49;84;-80;88;94;100;79;89;72;-84;-88;82;90;-76;91;84;77;76;96;99;-96;87;93;76;-72;90;98;98;78;87;93;95;68;96;78;73;84;87;93;-80;98;98;75;93;70;70;-88;75;81;84;95;90;72;100;73;75;81;90;70;70;78;-96;92;75;81;-72;69;72;92;91;84;77;-92;78;86;-80;-84;96;79;89;68;74;80;-88;
50;-84;-100;90;75;90;81;-72;78;75;76;99;100;94;83;67;-88;88;72;80;78;71;77;89;99;75;-80;;95;80;-96;85;72;102;80;90;84;-96;86;82;85;86;78;90;82;83;86;82;-72;84;78;88;66;96;83;-72;88;73;;-88;93;69;79;91;97;90;88;96;80;-80;101;85;74;68;69;92;93;90;-96;87;78;93;78;-68;
51;84;98;100;89;93;81;86;76;93;91;90;93;81;89;96;70;-80;78;73;68;76;84;-80;96;70;84;-76;-80;-72;72;78;78;88;87;75;74;-72;95;-84;99;70;77;91;98;69;-84;73;-96;94;93;81;80;90;90;96;-96;-88;-92;84;98;72;-88;84;92;100;95;90;-88;98;72;79;87;75;78;77;75;92;82;87;75;79;68;70;
52;-84;66;78;85;82;-72;;-80;90;83;94;97;72;-68;88;80;101;86;81;73;75;93;82;100;91;85;78;78;72;-80;-96;90;88;99;92;90;99;79;-96;93;84;88;80;84;75;-72;89;69;78;76;69;80;78;-72;-88;96;90;90;83;77;68;86;75;93;95;87;82;67;88;80;-100;96;71;74;85;78;-88;;-96;86;83;90;102;
53;-84;84;83;79;;92;85;90;96;72;88;85;87;82;75;73;77;101;90;-68;-72;94;69;-80;69;82;75;66;88;90;-96;-96;90;78;88;71;-80;80;78;82;100;93;75;68;86;90;88;-88;97;80;90;78;-72;-72;78;80;102;93;86;99;-88;99;74;-96;-100;78;67;91;95;93;86;81;83;80;96;72;78;83;76;;89;85;84;
54;-84;93;80;93;66;82;84;95;78;100;75;87;85;91;-72;82;82;85;89;67;-72;78;69;88;;78;78;80;-80;72;76;-100;90;-80;69;96;83;-96;80;71;94;90;78;74;97;88;-72;85;72;99;-88;78;-68;92;96;-88;88;90;90;;80;99;90;-96;101;79;83;86;86;-96;77;83;81;93;68;90;73;84;86;102;75;88;75;
55;-84;90;86;;78;74;96;80;67;87;93;86;77;90;96;-72;80;76;69;-72;84;88;93;79;90;99;90;-80;78;85;100;93;73;86;80;-68;97;83;-80;-72;85;66;102;83;-96;-88;85;71;-100;88;82;95;75;68;83;90;-88;78;69;78;89;75;80;84;-96;99;92;88;-96;72;78;91;82;75;81;101;88;72;94;90;;82;78;
56;-84;79;85;72;87;73;90;94;69;66;-96;78;-80;82;75;90;97;78;78;93;-88;-96;67;93;83;72;76;85;84;;90;88;82;77;-68;69;82;88;-96;88;80;100;68;88;80;-72;80;86;99;-100;91;86;80;78;;84;83;92;96;85;75;101;-72;-80;75;90;90;71;78;93;86;-88;90;-72;102;99;74;78;95;81;96;83;89;
57;-84;87;69;-80;97;-88;83;84;82;82;80;80;99;80;83;75;75;78;90;74;96;79;73;66;82;78;-96;72;;77;88;100;-72;-100;78;92;101;90;93;-72;78;83;85;90;-96;75;78;67;76;90;-68;-96;68;80;91;;96;-72;90;86;102;95;89;72;94;78;90;93;93;85;88;69;88;88;86;86;84;85;-80;71;-88;99;81;
58;-84;88;-72;-96;100;90;-88;86;89;90;101;66;80;-88;93;91;83;;75;69;88;86;78;-100;96;84;85;94;-96;93;78;99;81;85;96;90;88;78;97;86;95;76;92;73;82;71;90;80;78;72;83;87;69;90;75;-72;74;83;84;72;-68;90;82;80;99;93;;85;77;75;-80;88;102;67;78;79;82;-80;78;68;-72;-96;80;
59;84;78;72;76;95;-88;96;69;77;84;80;68;-72;84;81;74;95;81;91;75;68;93;75;-76;-88;89;87;92;90;70;79;78;-96;82;70;96;98;78;-88;93;-84;98;70;-84;75;-80;90;70;72;98;86;-72;90;89;98;78;76;81;79;-80;-92;93;75;100;93;77;87;73;94;87;84;-96;100;88;84;91;99;72;-80;73;92;96;90;
60;-84;-80;88;93;72;90;80;76;90;93;-100;;66;90;80;82;-80;99;84;69;90;95;96;-96;78;83;101;100;-96;79;75;80;83;87;71;86;85;94;86;91;90;-96;-72;78;77;82;74;83;82;97;81;85;88;93;89;-72;68;67;85;90;-72;72;73;78;99;84;69;-88;86;88;78;102;;-68;75;78;92;88;78;96;75;80;-88;
61;84;-80;96;68;84;90;75;96;81;82;84;94;75;68;73;78;78;69;87;70;91;72;89;70;-88;93;-84;95;91;-72;92;76;75;-88;81;88;98;89;78;-92;98;-72;-96;70;-76;90;79;70;80;87;-80;93;92;76;-96;77;73;-84;75;-80;98;79;96;77;98;81;99;90;90;95;100;93;74;84;86;87;72;93;78;84;100;72;-88;
62;-84;100;89;80;83;88;96;-96;81;88;95;82;78;69;74;-68;99;77;102;82;-72;88;90;90;-88;;86;84;93;85;78;76;71;72;90;83;90;93;75;67;-80;-96;-72;-88;101;93;75;78;85;78;96;97;92;90;83;75;84;82;;-80;78;78;80;-96;86;66;91;69;-100;94;99;90;86;73;80;87;-72;72;80;85;88;79;68;
63;84;80;68;79;-84;86;-92;84;92;69;81;92;78;70;81;73;72;95;81;-88;70;75;98;93;84;78;68;93;78;98;-72;93;-96;96;77;91;90;-88;72;79;94;-80;-88;74;89;96;-80;78;77;91;72;-72;75;-96;70;90;75;100;90;84;75;70;93;98;-80;87;73;96;95;87;98;90;76;87;99;76;84;-76;82;-84;89;100;88;
64;84;96;73;72;91;88;-96;87;73;77;100;93;-80;81;78;89;-72;98;70;-80;-84;98;93;78;96;82;78;70;92;89;-76;93;75;81;74;84;68;84;69;-88;76;78;90;92;-80;99;84;100;84;94;87;93;75;-92;79;76;98;90;86;72;90;75;70;-84;-88;98;70;-96;79;90;87;-88;75;68;91;95;81;-72;80;77;96;95;72;
65;84;79;-92;69;78;73;81;75;84;93;-72;96;90;79;-88;96;77;-72;70;100;75;98;73;87;76;76;82;100;80;-84;84;81;70;72;-88;98;78;78;93;77;-88;94;74;-80;91;75;90;90;70;-80;96;98;87;84;-84;88;68;86;92;92;81;95;70;93;68;98;-96;91;72;-80;89;78;72;-96;75;84;93;87;95;90;99;-76;89;
66;-84;99;82;101;76;102;88;87;80;78;90;90;95;88;69;83;-96;93;-68;89;86;-80;75;72;-72;-96;72;86;97;75;;78;68;94;84;-88;78;77;83;80;78;85;83;90;88;85;91;90;-80;84;74;100;90;;93;71;82;96;-72;-96;96;93;-88;82;79;-100;75;-72;85;99;80;73;78;78;90;88;81;80;66;92;67;86;69;
67;-84;72;90;66;-80;90;78;-96;83;85;90;77;82;88;68;-72;99;86;;92;75;-80;90;93;90;99;95;83;79;87;94;-96;82;97;93;67;72;84;88;-68;88;80;88;80;-100;80;84;96;101;75;71;86;-72;74;81;89;85;73;69;78;75;78;-88;93;76;;82;69;-96;100;80;86;91;78;83;85;-72;90;78;-88;102;78;96;
