   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
a
39;68;62;81;68;66;71;73;-80;76;67;66;57;59;62;57;-56;78;80;;-76;-64;66;71;55;64;71;61;54;64;78;-72;-54;72;60;76;64;82;-64;58;72;82;75;65;72;-81;65;70;-72;-60;;56;58;-80;79;74;77;79;70;69;60;-56;-63;65;70;68;55;74;
40;68;71;-81;74;66;72;55;-64;65;68;-76;75;70;;82;65;80;72;-63;78;58;-56;-56;-64;60;57;82;69;62;64;70;59;76;79;57;60;77;66;72;74;67;-54;79;76;-72;-80;-80;78;58;73;64;56;71;54;;66;61;-60;68;71;-72;81;64;70;62;55;65;
41;-68;58;59;64;58;-64;69;56;53;76;73;61;55;73;75;66;-64;66;60;71;76;73;70;-60;84;54;-64;-56;61;64;70;70;76;80;56;60;66;66;72;75;-80;-72;82;52;-76;66;63;60;65;76;70;-72;70;61;63;81;75;63;60;83;80;67;-72;78;-72;77;78;
42;-68;-80;73;61;-64;78;75;55;70;54;77;72;61;-72;84;-72;66;73;70;-60;78;66;76;76;70;-72;60;53;65;73;67;56;56;60;76;80;80;69;63;71;83;76;-64;66;60;60;70;58;-76;66;63;70;64;52;-64;75;64;59;82;66;81;61;58;-72;75;63;-56;
43;-68;58;59;64;58;-64;69;56;53;76;73;61;55;73;75;66;-64;66;60;71;76;73;70;-60;84;54;-64;-56;61;64;70;70;76;80;56;60;66;66;72;75;-80;-72;82;52;-76;66;63;60;65;76;70;-72;70;61;63;81;75;63;60;83;80;67;-72;78;-72;77;78;
44;-68;66;70;66;80;53;-60;72;61;58;-64;70;63;67;76;84;75;63;59;66;76;60;-72;73;54;-80;81;64;60;80;65;78;61;-64;-72;75;58;71;56;76;-72;55;-56;82;63;-64;76;60;70;77;73;61;52;60;69;73;66;-72;78;75;64;-76;83;56;70;66;70;
45;-68;-72;67;60;81;70;76;63;52;-80;66;56;70;61;54;70;71;-64;73;73;56;58;58;77;-72;83;75;61;70;60;-76;-72;72;60;76;64;-64;-60;76;66;75;61;53;-64;59;78;78;80;63;63;-72;65;66;82;75;66;80;70;-56;84;73;60;66;55;76;69;64;
46;-68;83;-72;52;60;-56;71;61;64;-72;63;63;72;70;70;75;69;77;63;76;-72;80;54;66;76;58;80;70;-76;66;61;76;55;58;78;81;60;75;70;-60;66;56;78;60;70;82;56;-64;60;73;59;67;61;66;66;64;73;73;-64;-72;75;65;-80;76;84;-64;53;
47;68;67;;54;82;65;74;70;71;57;55;72;75;56;60;62;66;-76;64;-64;70;77;68;73;-56;64;60;65;58;-56;81;57;-64;78;58;-72;79;55;-80;78;71;76;72;-80;-63;68;59;66;-72;72;-60;70;74;76;80;61;64;-81;79;65;66;62;71;-54;82;;69;
48;-68;-72;63;70;60;82;66;76;-56;70;66;55;56;59;-72;83;63;76;-76;75;56;64;84;71;75;76;58;78;67;75;-72;63;-72;66;70;-64;73;-64;61;69;58;78;60;61;65;52;72;80;61;-60;60;73;53;64;77;80;81;70;66;-80;60;70;54;76;66;73;-64;
